核算期,业务人员,业务时间,业务单号,业务类型,库房,物资ID,物资名称,规格图号,单位,计划价,数量,供应商,二级,毛坯重,报价重
202605,刘盛华,2026/5/23 14:54:29,R260523012,采购入库,原材料库,2.A.02.6194-OSP00-YL,PP-0168-纵梁,499.5,个,1,220,长盈,佳坤,0.998,0.998
202605,刘盛华,2026/5/23 14:54:29,R260523012,采购入库,原材料库,2.A.02.6184-OSP00-YL,PP-0168-右边梁,1470.5,个,1,52,长盈,佳坤,9.78,9.93
202605,刘盛华,2026/5/23 14:33:22,R260523011,采购入库,原材料库,SD01-61KWH-B-XC-021-YL,SD01后端挂载,88.0,个,1,1,祥鑫,三星,0.433,0.0
202605,刘盛华,2026/5/23 14:33:22,R260523011,采购入库,原材料库,SD01-61KWH-B-XC-022-YL,SD01前护板支架,9.51,个,1,11,祥鑫,三星,0.02,0.0
202605,刘盛华,2026/5/23 14:33:22,R260523011,采购入库,原材料库,SD01-61KWH-B-XC-021-YL,SD01后端挂载,88.0,个,1,21,祥鑫,三星,0.433,0.0
202605,刘盛华,2026/5/23 14:33:22,R260523011,采购入库,原材料库,BP45A-XC-11-YL,BP45（76）A后横梁,323.0,个,1,142,祥鑫,三星,0.412,0.42
202605,刘盛华,2026/5/23 14:33:22,R260523011,采购入库,原材料库,SD01-61KWH-B-XC-021-YL,SD01后端挂载,88.0,个,1,1,祥鑫,三星,0.433,0.0
202605,刘盛华,2026/5/23 11:28:44,R260523010,采购入库,原材料库,500109-00677-01-10-YL,F3-56-膨胀梁01,1278.8,个,1,215,联伟,豪美,5.575,5.819
202605,刘盛华,2026/5/23 11:28:44,R260523010,采购入库,原材料库,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,658.0,个,1,59,联伟,豪美,5.09,5.04438
202605,刘盛华,2026/5/23 11:28:44,R260523010,采购入库,原材料库,500104-00518-01-04-A-YL,小卡三代-前膨胀梁,658.0,个,1,96,联伟,豪美,4.04,3.94965
202605,刘盛华,2026/5/23 10:34:21,R260523008,采购入库,原材料库,500110-00799-02-04-YL,AWT87.3-挂载支架02,120.7,个,1,63,祥鑫,星环,1.226,1.2847
202605,刘盛华,2026/5/23 10:34:21,R260523008,采购入库,原材料库,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,1302.0,个,1,243,祥鑫,星环,3.24,3.4297
202605,刘盛华,2026/5/23 10:34:21,R260523008,采购入库,原材料库,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,1302.0,个,1,357,祥鑫,星环,3.24,3.4297
202605,刘盛华,2026/5/23 10:34:21,R260523008,采购入库,原材料库,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,1302.0,个,1,200,祥鑫,星环,3.24,3.4297
202605,刘盛华,2026/5/23 10:34:21,R260523008,采购入库,原材料库,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,1302.0,个,1,200,祥鑫,星环,3.24,3.4297
202605,刘盛华,2026/5/23 10:34:21,R260523008,采购入库,原材料库,500109-00698-01-01-YL,EHU-56前梁01,1252.5,个,1,60,联伟,星环,5.89,6.163
